2026-07-30 19:47:31,533 DEBUG    backend.ai.checkpointing.session_memory_store — SessionMemoryService: created session_id=86d93bc8-68e4-48e1-a420-4b81237ef691 user_id=d1bdaa11-3591-42c7-b8e9-867f20a76dbf title='Hi Honne tell me about you'
2026-07-31 17:20:57,374 DEBUG    backend.ai.agents.supervisor — supervisor: 1 tool call(s) requested
2026-07-31 17:20:57,374 DEBUG    backend.ai.agents.tools — search_vault_posts: user_id=ca0baf57-d4d2-44ab-911d-ee7248f83ca5 query_len=11
2026-07-31 17:21:09,957 DEBUG    backend.ai.agents.tools — search_vault_posts: 0 vector results for user_id=ca0baf57-d4d2-44ab-911d-ee7248f83ca5
2026-07-31 17:21:14,042 DEBUG    backend.ai.agents.supervisor — supervisor_node invoked: user_id=ca0baf57-d4d2-44ab-911d-ee7248f83ca5
2026-07-31 17:21:14,623 INFO     backend.ai.agents.supervisor — supervisor: route=research steps_taken=2
2026-07-31 17:21:14,623 DEBUG    backend.ai.graph — supervisor_router: Send → researcher_node
2026-07-31 17:21:14,640 DEBUG    backend.ai.agents.researcher — researcher_linkedin invoked: user_id=ca0baf57-d4d2-44ab-911d-ee7248f83ca5 query_len=71
2026-07-31 17:21:14,640 INFO     backend.ai.agents.researcher — researcher_linkedin: round=0 calling Gemini (2 messages in history)...
2026-07-31 17:21:17,681 INFO     backend.ai.agents.researcher — researcher_linkedin: round=0 Gemini responded in 3.03s, tool_calls=1
2026-07-31 17:21:17,681 INFO     backend.ai.agents.researcher — researcher_linkedin: round=0 executing tool=web_search args={'query': 'remote work debate RTO productivity management trust async work statistics 2024 2025'}
2026-07-31 17:21:17,682 DEBUG    backend.ai.agents.tools — web_search: query_len=84
2026-07-31 17:21:28,308 INFO     backend.ai.agents.researcher — researcher: tool=web_search took 10.64s
2026-07-31 17:21:28,308 INFO     backend.ai.agents.researcher — researcher_linkedin: round=1 calling Gemini (4 messages in history)...
2026-07-31 17:22:02,753 INFO     backend.ai.agents.researcher — researcher_linkedin: round=1 Gemini responded in 34.44s, tool_calls=0
2026-07-31 17:22:02,753 INFO     backend.ai.agents.researcher — researcher_linkedin: TOTAL 48.11s — produced 5 angles for user_id=ca0baf57-d4d2-44ab-911d-ee7248f83ca5
2026-07-31 17:22:02,898 INFO     backend.ai.router — query: state after invoke — draft='' answer='' route='research'
2026-07-31 17:22:13,402 DEBUG    backend.ai.agents.writer_node — writer_node invoked: user_id=ca0baf57-d4d2-44ab-911d-ee7248f83ca5
2026-07-31 17:22:21,525 DEBUG    backend.ai.style_memory — Style memory Redis miss, reading from DB: user_id=ca0baf57-d4d2-44ab-911d-ee7248f83ca5
2026-07-31 17:22:21,554 DEBUG    backend.ai.style_memory — No style memory found in DB: user_id=ca0baf57-d4d2-44ab-911d-ee7248f83ca5
2026-07-31 17:22:21,569 INFO     backend.ai.agents.writer_node — writer_node: no style_json, no profile — using cold-start defaults
2026-07-31 17:22:24,252 INFO     backend.ai.agents.writer_node — writer_node: draft generated, char_count=1377
